customer_id,account_created,device_id,payment_fingerprint,shipping_address_id,segment,ring_id,ring_style,home_ip,uses_vpn
CUST-832f77dd80,2025-12-02 05:28:29.248935,DEV-2bf2a7f44d,PAY-f19211b871,ADDR-f79d1264e4,normal,,,7.140.125.58,False
CUST-b429c1df72,2025-02-15 19:01:08.597227,DEV-3707e690f0,PAY-b7e018abd2,ADDR-5ef988e501,normal,,,27.44.216.9,False
CUST-8858d5258b,2024-12-14 06:03:43.780721,DEV-1add267df2,PAY-c84f7a5fa4,ADDR-796760762f,normal,,,56.119.13.144,False
CUST-db698350fc,2025-03-22 03:02:52.778190,DEV-9d47ce8db1,PAY-1e01649226,ADDR-46673353f9,normal,,,167.214.112.115,False
CUST-1446844d0f,2025-11-03 04:26:09.395303,DEV-4b38433cac,PAY-eb785fe457,ADDR-774588b3fa,normal,,,208.3.81.179,False
CUST-302f564a82,2025-07-29 16:38:58.836268,DEV-014c4cb2eb,PAY-68d8c63d3b,ADDR-8645a77b30,normal,,,72.79.110.246,False
CUST-8f53b03f53,2026-02-12 01:30:51.900029,DEV-97da2b0661,PAY-d2d69772fb,ADDR-3d9da8fb41,normal,,,27.47.194.25,False
CUST-009623df60,2025-06-22 20:22:38.896372,DEV-96a23f7f43,PAY-d020ec6858,ADDR-fdc8d5e70e,normal,,,89.135.22.187,False
CUST-2efc12e521,2025-08-20 00:10:05.260512,DEV-a57e219b8b,PAY-aac8503d67,ADDR-569d5fd297,normal,,,32.193.40.142,False
CUST-32cb1ab88f,2025-05-15 18:00:19.434359,DEV-9c96302597,PAY-0440949a3e,ADDR-dfcd65b1e6,normal,,,161.185.98.181,False
CUST-51336614e9,2025-01-06 06:32:18.052997,DEV-8783e6a406,PAY-fca33c2ac4,ADDR-ed1e057c78,normal,,,170.116.148.253,False
CUST-bf88d7d250,2025-01-12 04:47:21.520791,DEV-dd32cbc5b9,PAY-6e15878c67,ADDR-ad06ab7be9,normal,,,60.51.194.72,False
CUST-2bd78a1d71,2025-08-16 12:35:22.422162,DEV-fbf6f092cd,PAY-6da828ac59,ADDR-71bdd3fd07,normal,,,214.186.83.95,False
CUST-ff62431a81,2025-06-20 16:50:29.941302,DEV-996777495a,PAY-7a1c42da0c,ADDR-9a0a28b197,normal,,,172.136.36.156,False
CUST-6ea6af4fe4,2025-11-29 15:39:29.854031,DEV-de38cafdf5,PAY-0944a7906a,ADDR-824b13b5bf,normal,,,137.125.83.119,False
CUST-65984afda5,2025-07-04 16:54:46.147191,DEV-19ece8bdba,PAY-69d5e2f7a6,ADDR-1839624775,normal,,,164.112.166.216,False
CUST-5b23eeb6ae,2026-02-14 20:29:07.707205,DEV-017ecbf1a5,PAY-2e0558730a,ADDR-ba1088f20c,normal,,,15.117.16.207,False
CUST-8fa7cac250,2025-05-28 15:32:08.000984,DEV-1840998114,PAY-5121088aec,ADDR-6e20e967a9,normal,,,69.33.108.234,False
CUST-e55d5337c1,2026-05-26 22:40:24.205440,DEV-bc7fac6a42,PAY-1671a52255,ADDR-5ee4039e6e,normal,,,184.161.108.168,False
CUST-2f537cfc11,2025-09-12 01:19:03.294857,DEV-30f68ddaa7,PAY-a23689efd0,ADDR-e46979788c,normal,,,165.234.73.68,False
CUST-4e474f90c8,2025-02-15 20:18:10.512455,DEV-e609bab4f7,PAY-2bf28ba715,ADDR-3247e389c3,normal,,,191.134.219.230,False
CUST-deee222d89,2025-10-30 20:46:24.690161,DEV-739067ba29,PAY-99b11e234d,ADDR-dcbf6e37bf,normal,,,93.112.70.131,False
CUST-10dcd1c32a,2025-09-08 17:53:45.749855,DEV-66394a0111,PAY-eccb73d1b1,ADDR-ec42f4ebac,normal,,,194.24.56.40,False
CUST-89097ecb00,2025-11-25 06:59:24.703822,DEV-c038abd6a6,PAY-4d63b7520c,ADDR-6a528ab54c,normal,,,203.216.32.99,False
CUST-6bf436ff0c,2025-07-05 22:58:53.779061,DEV-bc4da22166,PAY-3903395be5,ADDR-ccc5dec9b6,normal,,,120.128.5.175,False
CUST-f18a4336b6,2026-01-18 07:09:01.446585,DEV-c521f4d071,PAY-a8eaec4ae2,ADDR-015e7ca6c3,normal,,,175.136.174.29,False
