order_id,customer_id,sku_id,category,quantity,unit_price_paid,order_timestamp,discount_pct_applied,device_id,payment_fingerprint,shipping_address_id,ip_address
ORD-f2db957a91,CUST-3c9e4a4a27,ADI-TRACK-BLK-M,apparel,8,70.0,2026-01-01 00:24:04.966215,0.0,DEV-c4c35d37ba,PAY-039eaf11d8,ADDR-5cfcb7b8c0,203.156.87.203
ORD-52e894f907,CUST-6f27969ae1,ADI-SUPER-BLK-42,sneakers,6,85.0,2026-01-01 01:28:59.066084,0.0,DEV-e6a90919fd,PAY-5c8304bcad,ADDR-b6b3703311,6.59.85.232
ORD-78e91040ce,CUST-60572b56c0,ADI-TRACK-BLK-M,apparel,1,70.0,2026-01-01 01:31:39.382588,0.0,DEV-835094a48a,PAY-5c591f2db7,ADDR-281a1601e8,28.220.68.226
ORD-de154e36ab,CUST-25e26b260d,ADI-SUPER-BLK-42,sneakers,1,85.0,2026-01-01 02:26:57.698869,0.0,DEV-b86e59feb5,PAY-1aaee3e7a8,ADDR-5980e57446,197.228.147.161
ORD-9b2d6e94a8,CUST-47dea909ea,ADI-CAP-BLK,accessory,1,25.0,2026-01-01 03:38:33.593598,0.0,DEV-8840b75a2f,PAY-77c37ba234,ADDR-5d64111ae5,203.216.32.99
ORD-e6daee9deb,CUST-43796d83fc,ADI-SUPER-BLK-42,sneakers,3,85.0,2026-01-01 04:13:32.644855,0.0,DEV-f9acb9653d,PAY-9bc2f8dc94,ADDR-17ea804510,219.219.96.220
ORD-bf68efb74d,CUST-7ee9974cda,ADI-SAMBA-BLK-42,sneakers,3,90.0,2026-01-01 04:42:27.954162,0.0,DEV-7ce232ef9f,PAY-c66289a32b,ADDR-e9aa02bd89,34.112.186.99
ORD-fdbd0e6a90,CUST-e316d1982f,ADI-CAP-BLK,accessory,3,25.0,2026-01-01 06:16:31.450028,0.0,DEV-3b0f4b6adf,PAY-36f0e203f5,ADDR-ff6f1882e6,221.36.197.229
ORD-e58ca393b4,CUST-e093573ccd,ADI-GAZL-BLU-42,sneakers,3,100.0,2026-01-01 10:36:56.914980,0.0,DEV-6a7b49ae3b,PAY-0d0380b1e8,ADDR-e4afd1d0f4,116.73.116.1
ORD-09f6202bf6,CUST-0e91961a11,ADI-CAP-BLK,accessory,4,25.0,2026-01-01 11:36:45.042930,0.0,DEV-df789d2c05,PAY-5eed6257e1,ADDR-ef99b7735a,97.114.10.243
ORD-5e1d38b997,CUST-dbc58dfb2a,ADI-SAMBA-WHT-42,sneakers,1,90.0,2026-01-01 12:58:41.246441,0.0,DEV-9443f3da95,PAY-7a97d2ddb4,ADDR-01764c6b68,193.206.153.84
ORD-5ee0b67b74,CUST-b3eecc0969,ADI-TEE-WHT-M,apparel,1,30.0,2026-01-01 14:06:49.513650,0.0,DEV-2db0158edc,PAY-1382d3a9be,ADDR-3b4102eed6,139.116.45.114
